,Ten,Gia ,Link
29,Sách - Tập 2 Ngang Tàng - Vu Triết,"₫164,340",https://www.lazada.vn/products/sach-tap-2-ngang-tang-vu-triet-i1970611580.html
30,Sách - Hình Xăm - Bất Vấn Tam Cửu ( Tiểu thuyết đam mỹ),"₫148,570",https://www.lazada.vn/products/sach-hinh-xam-bat-van-tam-cuu-tieu-thuyet-dam-my-i1279428278.html
31,Sách - Kính Vạn Hoa - Tập 2 - 8935036685933,"₫77,000",https://www.lazada.vn/products/sach-kinh-van-hoa-tap-2-8935036685933-i1240646510.html
32,Sách - TRỌN BỘ 2 TẬP Semantic Error Lỗi Logic J.Soori,"₫388,500",https://www.lazada.vn/products/sach-tron-bo-2-tap-semantic-error-loi-logic-jsoori-i1994865218.html
33,"Timebooks - Combo Lan Rùa 7 & 8: Đi Hết Một Đời Anh Vẫn Là Của Em & Đợi Một Danh Phận, Cả Đời Oán Hận","₫73,600",https://www.lazada.vn/products/timebooks-combo-lan-rua-7-8-di-het-mot-doi-anh-van-la-cua-em-doi-mot-danh-phan-ca-doi-oan-han-i1910281185.html
34,"Sách - Nhắn gửi tất cả các em, những người tôi đã yêu (Nhã Nam)","₫93,799",https://www.lazada.vn/products/sach-nhan-gui-tat-ca-cac-em-nhung-nguoi-toi-da-yeu-nha-nam-i1427123714.html
35,Sách - Bông Hồng Vàng Và Bình Minh Mưa,"₫79,000",https://www.lazada.vn/products/sach-bong-hong-vang-va-binh-minh-mua-i1240649786.html
36,Sách tiểu Thuyết Đam Mỹ - TRỌN BỘ 2 TẬP Ma tôn cũng muốn biết - Thanh Sắc Vũ Dực,"₫135,200",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tron-bo-2-tap-ma-ton-cung-muon-biet-thanh-sac-vu-duc-i2005900726.html
37,Sách - Chân Trời Góc Bể - Diệp Lạc Vô Tâm (Tái Bản 2020),"₫74,000",https://www.lazada.vn/products/sach-chan-troi-goc-be-diep-lac-vo-tam-tai-ban-2020-i1279314807.html
38,Fahasa - All In Love - Ngập Tràn Yêu Thương (Tái Bản 2020),"₫95,200",https://www.lazada.vn/products/fahasa-all-in-love-ngap-tran-yeu-thuong-tai-ban-2020-i620884359.html
39,Sách - Lâu đài bay của pháp sư Howl [Nhã Nam],"₫90,100",https://www.lazada.vn/products/sach-lau-dai-bay-cua-phap-su-howl-nha-nam-i1241460183.html
40,Sách Tô Màu - Tô Bình Yên - Vẽ Hạnh Phúc - Kulzsc,"₫85,000",https://www.lazada.vn/products/sach-to-mau-to-binh-yen-ve-hanh-phuc-kulzsc-i1279383143.html
41,Sách - Thất Tịch Không Mưa,"₫123,670",https://www.lazada.vn/products/sach-that-tich-khong-mua-i1476133659.html
42,"Sách TIỂU THUYẾT ĐAM MỸ - Tình Đầu Chọn Tôi, Tôi Rất Ngọt - Thụy Mang","₫70,000",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tinh-dau-chon-toi-toi-rat-ngot-thuy-mang-i2052179600.html
43,SÁCH TIỂU THUYẾT ĐAM MỸ - TẬP 1 Roses And Champagne - HOA HỒNG VÀ SÂM BANH 1 - ZIG,"₫53,000",https://www.lazada.vn/products/sach-tieu-thuyet-dam-my-tap-1-roses-and-champagne-hoa-hong-va-sam-banh-1-zig-i2054173315.html
44,Fahasa - Thiên Quan Tứ Phúc - Tập 3,"₫184,450",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-3-i1332876732.html
45,Fahasa - Husky Và Sư Tôn Mèo Trắng Của Hắn - Tập 1,"₫68,000",https://www.lazada.vn/products/fahasa-husky-va-su-ton-meo-trang-cua-han-tap-1-i1242820956.html
46,Fahasa - Nguyện Lấy Giang Sơn Làm Sính Lễ (Bộ 2 Tập) - Tặng Kèm Bookmark,"₫188,000",https://www.lazada.vn/products/fahasa-nguyen-lay-giang-son-lam-sinh-le-bo-2-tap-tang-kem-bookmark-i1783880908.html
47,Fahasa - Vụng Trộm Yêu Anh (Bộ 2 Tập),"₫188,244",https://www.lazada.vn/products/fahasa-vung-trom-yeu-anh-bo-2-tap-i1630249630.html
48,Fahasa - Khi Chủ Tịch Không Yêu Nữ Chính (Bộ 2 tập) - Tặng Kèm Bookmark + Postcard,"₫131,000",https://www.lazada.vn/products/fahasa-khi-chu-tich-khong-yeu-nu-chinh-bo-2-tap-tang-kem-bookmark-postcard-i1697745362.html
49,Fahasa - Thiên Quan Tứ Phúc - Tập 5,"₫123,300",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-5-i1920429551.html
50,Sách Gấm Rách ( tái bản 2021 bổ sung ngoại truyện ) - Phỉ Ngã Tư Tồn,"₫135,229",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-2-tai-ban-2021-i1630333157.html
51,Tớ thích cậu hơn cả Harvard,"₫49,917",https://www.lazada.vn/products/to-thich-cau-hon-ca-harvard-i1954111002.html
52,Fahasa - Dior Tiên Sinh (Bộ 2 Tập),"₫212,322",https://www.lazada.vn/products/fahasa-dior-tien-sinh-bo-2-tap-i1236043297.html
53,Fahasa - Thiên Quan Tứ Phúc - Tập 1 (Tái Bản),"₫130,721",https://www.lazada.vn/products/fahasa-thien-quan-tu-phuc-tap-1-tai-ban-i1913677154.html
54,Fahasa - Chờ Em Lớn Nhé Được Không? (Tái Bản),"₫88,877",https://www.lazada.vn/products/fahasa-cho-em-lon-nhe-duoc-khong-tai-ban-i1599981169.html
55,"Fahasa - Một Nửa Ngọt Ngào, Một Nửa Đau Thương","₫160,697",https://www.lazada.vn/products/fahasa-mot-nua-ngot-ngao-mot-nua-dau-thuong-i1452143130.html
56,Fahasa - Quỷ Giá,"₫138,330",https://www.lazada.vn/products/fahasa-quy-gia-i1974512224.html
57,Sách - Light Novel - Kẻ dị biệt tại trường học phép thuật (Tập 1) - Nhã Nam HCM,"₫67,130",https://www.lazada.vn/products/sach-light-novel-ke-di-biet-tai-truong-hoc-phep-thuat-tap-1-nha-nam-hcm-i1448687014.html
58,Sách - Trâm (Tập 2) - Kẻ yểu mệnh (TB 2021) - Nhã Nam HCM,"₫120,910",https://www.lazada.vn/products/sach-tram-tap-2-ke-yeu-menh-tb-2021-nha-nam-hcm-i1434253474.html
59,Hãy Nhắm Mắt Khi Anh Đến (Trọn Bộ 2 Tập),"₫120,000",https://www.lazada.vn/products/hay-nham-mat-khi-anh-den-tron-bo-2-tap-i1475664595.html
60,Sách - Không Gia Đình ( Bản Mới 2020 ),"₫71,000",https://www.lazada.vn/products/sach-khong-gia-dinh-ban-moi-2020-i1240676337.html
61,Fahasa - Thần Mộc Cào Bất Tận - Tập 1,"₫144,420",https://www.lazada.vn/products/fahasa-than-moc-cao-bat-tan-tap-1-i1787578749.html
62,"Fahasa - Năm Tháng Tĩnh Lặng, Kiếp Này Bình Yên - Tái Bản 2021","₫131,100",https://www.lazada.vn/products/fahasa-nam-thang-tinh-lang-kiep-nay-binh-yen-tai-ban-2021-i1726077049.html
63,Fahasa - Ngự Giao Ký (Bộ 2 Cuốn),"₫358,202",https://www.lazada.vn/products/fahasa-ngu-giao-ky-bo-2-cuon-i1459572167.html
64,Fahasa - Xuyên Thành Phản Diện Biết Sống Sao Đây? - Tập 5 - Bản Đặc Biệt - Tặng Kèm Bookmark + Zigzag Postcard,"₫114,278",https://www.lazada.vn/products/fahasa-xuyen-thanh-phan-dien-biet-song-sao-day-tap-5-ban-dac-biet-tang-kem-bookmark-zigzag-postcard-i1783914694.html
65,Fahasa - Bảy Năm Vẫn Ngoảnh Về Phương Bắc (Bộ 2 Tập),"₫200,700",https://www.lazada.vn/products/fahasa-bay-nam-van-ngoanh-ve-phuong-bac-bo-2-tap-i658126467.html
