,id ,rating ,name
0,,,
1,/user/show/117399210-lu-s,liked it,Bình Yên Nhé
2,/user/show/3452895-muffin-panic,did not like it,Bình Yên Nhé
3,/user/show/50271305-marta,it was amazing,Bình Yên Nhé
4,/user/show/2751946-andrez,really liked it,Bình Yên Nhé
5,/user/show/33469334-nightingale-jt,liked it,Bình Yên Nhé
6,/user/show/2208935-diana-marques-pap-is-e-letras,really liked it,Bình Yên Nhé
7,/user/show/4795974-ke,really liked it,Bình Yên Nhé
8,/user/show/56766420-sara,it was amazing,Bình Yên Nhé
9,/user/show/5440323-mariana-pereira,it was amazing,Bình Yên Nhé
10,/user/show/9728092-cat,really liked it,Bình Yên Nhé
11,/user/show/36562929-tiago-mrsmargotblog,it was amazing,Bình Yên Nhé
12,/user/show/36497595-brunilda,did not like it,Bình Yên Nhé
13,/user/show/334246,it was amazing,Bình Yên Nhé
14,/user/show/6204271-mafalda,it was amazing,Bình Yên Nhé
15,/user/show/15679137-diogo-moreira,it was ok,Bình Yên Nhé
16,/user/show/5233195-sury,it was amazing,Bình Yên Nhé
17,/user/show/20294370-in-s-miranda,really liked it,Bình Yên Nhé
18,/user/show/85527360-ester,really liked it,Bình Yên Nhé
19,/user/show/19003013-fabiana,0,Bình Yên Nhé
20,/user/show/21532402-diana-guerra,liked it,Bình Yên Nhé
21,/user/show/35114364-mariana,liked it,Bình Yên Nhé
22,/user/show/37369774-panda,0,Bình Yên Nhé
23,/user/show/41363087-nicole-fernandes,liked it,Bình Yên Nhé
24,/user/show/40150226-joana,it was amazing,Bình Yên Nhé
25,/user/show/45256974-bruna-barbosa,0,Bình Yên Nhé
26,/user/show/16482424-diogo-jesus,0,Bình Yên Nhé
27,/user/show/38523964-joana-xu,really liked it,Bình Yên Nhé
28,/user/show/136739647-mariana,did not like it,Bình Yên Nhé
29,/user/show/82702302-beatriztiz,really liked it,Bình Yên Nhé
30,/user/show/134509386-barbara,it was amazing,Bình Yên Nhé
31,/user/show/125118584-filipa-h,really liked it,Bình Yên Nhé
32,/user/show/150734051-forj,it was amazing,Bình Yên Nhé
33,/user/show/145458759-beatriz-gon-alves,it was amazing,Bình Yên Nhé
34,/user/show/5005475-bii,liked it,Bình Yên Nhé
